review_text,rating,review_date,app_version,likes,app_name,category
Recently upi app is not working why? this type of technical issues ..I can't payment with upi for my friend .. Really disappointed 😞☹️,1,03-03-2026 19:29,,0,Zomato,Food Delivery
this app is scam no refund costumer service boll ta ha ki refund mil jya ga par kr ta nahi ha or costumer ke sat gandi tarike se baat kar ta hai,1,03-03-2026 19:28,,0,Zomato,Food Delivery
very very nice experience from Zomato😋thanku so muchh for such a lovely treatment,5,03-03-2026 19:27,19.3.9,0,Zomato,Food Delivery
"Your delivery service is truly impressive. The food arrived fresh, well-packed, and right on time. I also really appreciate the good discounts and super offers you provide. It makes the experience even more satisfying. Keep up the great work",5,03-03-2026 19:26,19.4.2,0,Zomato,Food Delivery
very good service,5,03-03-2026 19:25,19.4.2,0,Zomato,Food Delivery
good service,5,03-03-2026 19:24,,0,Zomato,Food Delivery
"Some hotels in Zomato are supplying old food. I got food poison after eating food ordered through Zomato. Hotel name: Khalid Biryani, place : namakkal. Please reply. Otherwise I have to file case against hotel and zomata",4,03-03-2026 19:24,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 19:22,19.3.9,0,Zomato,Food Delivery
nice service,4,03-03-2026 19:21,19.3.9,0,Zomato,Food Delivery
very good,5,03-03-2026 19:20,19.3.9,0,Zomato,Food Delivery
amazing offers I used to get from Zomato's end!!!,5,03-03-2026 19:20,19.3.9,0,Zomato,Food Delivery
i feel relaxed due to zomato because whenever I want to eat I can order easily but sometimes when I change my location it show me high rates of food like high delivery charges taxes and all so regarding outside i feel some what tensioned but overall it's good so I'm giving 4 star ⭐,4,03-03-2026 19:18,,0,Zomato,Food Delivery
good,5,03-03-2026 19:18,19.3.0,0,Zomato,Food Delivery
best app for delivery purposes,5,03-03-2026 19:16,19.3.6,0,Zomato,Food Delivery
address problem note in correct location,1,03-03-2026 19:14,,0,Zomato,Food Delivery
good,5,03-03-2026 19:13,19.3.4,0,Zomato,Food Delivery
love u it,4,03-03-2026 19:11,,0,Zomato,Food Delivery
it's good and also gives a lot of coupon,4,03-03-2026 19:11,19.3.4,0,Zomato,Food Delivery
very good,5,03-03-2026 19:10,19.3.9,0,Zomato,Food Delivery
why there's is no UPI options?? why I can't pay from other phone's upi?? FIX THIS ASAP,1,03-03-2026 19:08,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 19:08,19.4.2,0,Zomato,Food Delivery
superb,5,03-03-2026 19:07,19.4.2,0,Zomato,Food Delivery
These app works very best,5,03-03-2026 19:05,19.4.2,0,Zomato,Food Delivery
good service,5,03-03-2026 19:04,19.3.7,0,Zomato,Food Delivery
nice,5,03-03-2026 19:04,19.3.9,0,Zomato,Food Delivery
good service,5,03-03-2026 19:04,19.4.2,0,Zomato,Food Delivery
too good,5,03-03-2026 19:04,19.4.2,0,Zomato,Food Delivery
great app,5,03-03-2026 19:03,19.4.2,0,Zomato,Food Delivery
This is a very good delivery app,5,03-03-2026 19:01,,0,Zomato,Food Delivery
